id,title,view_count,duration,upload_date,like_count,comment_count,playlist_index,n_entries,drift_score,video_order,drift_rolling,is_viral,viral_ratio
jVwSJ9q3kOc,Kid playing with toys Lego Duplo Number Train,0,914.0,,0,0,2992,2992,0.06520789,0,,False,0.0
5swXeH1Gl3o,Kid playing with Remote control toys Batman Imaginext Batbot,0,822.0,,0,0,2991,2992,0.102323174,1,,False,0.0
pVKqH9J3Jbo,Ryan Opens Easter eggs Surprise 2015,0,847.0,,0,0,2990,2992,0.044219,2,,False,0.0
AtyTZuLC9Dk,Ryan Opens easter eggs surprise thomas the tank engine train and friends,0,348.0,,0,0,2989,2992,-0.0034654997,3,,False,0.0
HHho5JC8tcE,Kid playing with toys Vtech Go Go smart wheels toys,0,311.0,,0,0,2988,2992,0.010893781,4,0.04383566901087761,False,0.0
E5Ku0bknra4,Thomas & Friends Trains Trackmaster Breakaway Bridge Set,0,263.0,,0,0,2987,2992,-0.07275048,5,0.02440464434524377,False,0.0
NM_NjOlu3qs,Ryan plays with Thomas & Friends Toy Trains,0,84.0,,0,0,2986,2992,-0.0334863,6,0.01613450955067362,False,0.0
XNRDhq55Gg8,Thomas & Friends Train Trackmaster Maron Station Starter Set,0,292.0,,0,0,2985,2992,-0.13972387,7,-0.0033477875404059887,False,0.0
py7-QsYXewE,Ryan plays with Thomas & Friends Trackmaster Avalanche Escape Set,0,530.0,,0,0,2984,2992,-0.008502048,8,-0.003920483195947276,False,0.0
lH4Pv8pDXos,Ryan plays with Crash & Repair Thomas the train  motorized Trackmaster train,0,359.0,,0,0,2983,2992,0.0046743406,9,-0.003061000816524029,False,0.0
oIAVOA6ERUA,Ryan Plays with Play Doh Buzzsaw All Woodcutter Diggin' Rigs playset,0,401.0,,0,0,2982,2992,-0.080489926,10,-0.010099994018673897,False,0.0
aL5IPppQM2I,Ryan plays with Play doh Thomas & Friends Guess Who,0,304.0,,0,0,2981,2992,-0.02886191,11,-0.011663487025847038,False,0.0
sdu_TImMENc,Ryan plays with Play Doh Surprise Toys Disney Cars Guessing Game,0,330.0,,0,0,2980,2992,0.022559619,12,-0.009030940440984873,False,0.0
BvnnQxl_QR8,Ryan plays with Thomas & Friends Special Edition Thomas trackmaster,0,483.0,,0,0,2979,2992,-0.065242186,13,-0.013046029422964369,False,0.0
UJxMG_thxy0,Ryan plays with Play doh Construction Vehicles for Children,0,318.0,,0,0,2978,2992,-0.05962019,14,-0.016150973488887152,False,0.0
3pudPGVNnM4,Science Experiment for Kids with elephant toothpaste and baking soda and vinegar,0,339.0,,0,0,2977,2992,0.0019000582,15,-0.015022784005850554,False,0.0
BWhMZHtFqaE,HOW TO MAKE SLIME! Easy Science Experiments for kids,0,259.0,,0,0,2976,2992,-0.0169077,16,-0.01513366138233858,False,0.0
ynIB8BofoGw,Ryan unboxed Thomas & Friends GOLD THOMAS the tank engine special edition,0,285.0,,0,0,2975,2992,0.006893404,17,-0.013909935537311766,False,0.0
wQDQbyTSwpM,How to Make a Homemade Lava Lamp! Easy Science Experiments for Kids,0,283.0,,0,0,2974,2992,-0.07160601,18,-0.01694657104580026,False,0.0
Ndb5YB7v_Hg,Ryan plays with Play Doh Playset!,0,391.0,,0,0,2973,2992,-0.048939116,19,-0.018546198308467866,False,0.0
Hw9L5eCZM1k,Ryan plays with Thomas and Friends MINIS Surprise BLIND BAGS,0,419.0,,0,0,2972,2992,0.007664807,20,-0.021423352509737016,False,0.0
N849LdMLC-Q,Ryan plays with Thomas and Friends Bubbles Machine,0,221.0,,0,0,2971,2992,0.006783724,21,-0.026200325042009354,False,0.0
HmlFUIG21WU,HOW TO MAKE A BOUNCY BALL Easy Science Experiments for kids,0,313.0,,0,0,2970,2992,-0.12002881,22,-0.03441271539777517,False,0.0
RL6xUtPXQiE,Ryan plays with PLAY DOH THOMAS & FRIENDS GUESSING GAME!,0,390.0,,0,0,2969,2992,-0.029452557,23,-0.03571206824854016,False,0.0
EZjnaj9cJbA,Ryan plays with Thomas & Friends and Lego Duplo Toy Trains,0,485.0,,0,0,2968,2992,-0.034357056,24,-0.03797461008653045,False,0.0
0SvkR7H9LVQ,Ryan plays with Thomas and Friends Surprise Minis Toy trains,0,515.0,,0,0,2967,2992,-0.00658755,25,-0.03466646363958716,False,0.0
u3UazmohGmo,Ryan plays with Thomas and Friends Trackmaster Shipwreck rails set,0,373.0,,0,0,2966,2992,-0.061040908,26,-0.036044194083660844,False,0.0
0_W5nSEmbKw,Ryan plays with Thomas and friends toy trains at the Playground,0,300.0,,0,0,2965,2992,-0.05597927,27,-0.031856964249163865,False,0.0
wGoaHrrZ24g,MILK AND SOAP MAGIC EXPERIMENT! Easy science experiments for kids,0,220.0,,0,0,2964,2992,0.0060434826,28,-0.03112968769855797,False,0.0
fIYYKY8HJxk,GIANT SURPRISE EGGS Thomas and Friends Toys opening with Ryan,0,285.0,,0,0,2963,2992,0.0144884065,29,-0.0306389844045043,False,0.0
90MhLgHY3mI,Ryan plays with Thomas and Friends toy trains outside!,0,187.0,,0,0,2962,2992,-0.034860104,30,-0.028357493318617345,False,0.0
cBl6QXjGLPI,Ryan plays with Thomas and Friends Remote Control Toy Trains,0,251.0,,0,0,2961,2992,-0.02336676,31,-0.02808273583650589,False,0.0
Tldlt2RhrDw,GIANT Lightning McQueen Egg Surprise with 100+ Disney Cars Toys,0,446.0,,0,0,2960,2992,0.039460205,32,-0.027237706538289785,False,0.0
WJXBBaegk6c,Ryan plays with Thomas and Friends trains around the house,0,257.0,,0,0,2959,2992,-0.061309624,33,-0.027041078452020882,False,0.0
n5pcxNJLv8g,Ryan plays with Thomas and Friends Remote Control Trains,0,206.0,,0,0,2958,2992,-0.041704737,34,-0.026145305763930083,False,0.0
sbSuLlCl63o,Ryan plays with Dinosaur Toys and Thomas & Friends,0,398.0,,0,0,2957,2992,-0.084068924,35,-0.030443754885345696,False,0.0
Yvc5lKk4XzM,Ryan plays with Minions Mcdonalds Happy Meal Toys,0,285.0,,0,0,2956,2992,0.017563526,36,-0.028720193635672332,False,0.0
driC2H_7dwg,Thomas and Friends Trackmaster Shipwreck Rails Set with Ryan,0,332.0,,0,0,2955,2992,-0.07038653,37,-0.032584190275520085,False,0.0
Zq-jeGOzZs4,Balloons Blow Up with Baking Soda and Vinegar Science Experiment for kids,0,175.0,,0,0,2954,2992,0.04776479,38,-0.02661565029993653,False,0.0
ilWaVGcIWRA,Ryan plays with Happy Meal  Minions and Disney Cars,0,240.0,,0,0,2953,2992,-0.025505535,39,-0.025443971250206233,False,0.0
2WExSCqcghU,Ryan plays with PlayHouse Tent with Surprise Toys,0,282.0,,0,0,2952,2992,-0.03854338,40,-0.02775438064709306,False,0.0
YCYFXwYo_Bc,GIANT EGG SURPRISE OPENING TRANSFORMER Toys,0,443.0,,0,0,2951,2992,0.0068427417,41,-0.02775142975151539,False,0.0
IOSTsiVSTnU,Thomas and Friends Toy Trains Rail Rollers Spiral Station,0,245.0,,0,0,2950,2992,-0.049749363,42,-0.024237457476556302,False,0.0
bzRG598geus,Ryan plays COLOR CHANGERS CARS Hot Wheels Color Shifters Toys,0,258.0,,0,0,2949,2992,-0.041457295,43,-0.02483769441023469,False,0.0
a6OM0H7TkiI,TOYS SURPRISES GIANT BALLOON DROP POP CHALLENGE with Ryan,0,441.0,,0,0,2948,2992,0.06601322,44,-0.019819180760532618,False,0.0
iFHcFiwY1Hc,Ryan plays with Thomas and Friends Hide and Seek at the Park,0,264.0,,0,0,2947,2992,-0.04269282,45,-0.021624444331973792,False,0.0
ZKBLHf2hIf4,GIANT EGG SURPRISE MINION from Despicable Me,0,394.0,,0,0,2946,2992,0.10452058,46,-0.013346369843930006,False,0.0
GdZmUT4xIjw,Ryan plays with Thomas and Friends NEW TAKE N PLAY Daring Dragon Drop,0,478.0,,0,0,2945,2992,-0.06320471,47,-0.01370764197781682,False,0.0
yVe3S7vU8dY,Ryan opens easter eggs with SuperHero toys inside,0,251.0,,0,0,2944,2992,0.06259053,48,-0.010880289506167174,False,0.0
BlsPAXgu0So,Ryan plays with COLOR CHANGERS CARS Hot Wheels Color Shifters,0,295.0,,0,0,2943,2992,-0.054923493,49,-0.01435088450089097,False,0.0
IPieLuzZM8Q,GIANT EGG SURPRISE OPENING Thomas and Friends toy trains,0,323.0,,0,0,2942,2992,-0.01516271,50,-0.013366014789789915,False,0.0
1LWXqWL6qQw,Ryan rides on a bike and play with Disney toys!,0,157.0,,0,0,2941,2992,-0.06716044,51,-0.015555698890239,False,0.0
8PaTSjOjVL8,GOLDEN GIANT EGG SURPRISE OPENING Disney Toy Story,0,375.0,,0,0,2940,2992,0.0045168176,52,-0.017302868235856295,False,0.0
kvLgWMt4IC8,DANCING GOO Cornstarch and water Easy science experiment for kids,0,288.0,,0,0,2939,2992,-0.07187098,53,-0.01783093614503741,False,0.0
5P9QGCjlo9Q,Ryan plays with Thomas and Friends and Minions Toys at the Playground,0,226.0,,0,0,2938,2992,-0.04565313,54,-0.018028355855494737,False,0.0
4mjtXNcCYb0,Ryan plays at the Playground Parks with Water toys!,0,261.0,,0,0,2937,2992,-0.0058548963,55,-0.014117654459550977,False,0.0
AP2CsyinF_M,Kid Playing Outside riding car and playing with Bubbles!,0,148.0,,0,0,2936,2992,0.10115117,56,-0.009938272321596742,False,0.0
np8TBSoOiO8,Giant Ball Pits Surprise Toys Challenge with Ryan,0,217.0,,0,0,2935,2992,0.0644249,57,-0.003197700763121247,False,0.0
G-1M6O2CPa4,Ryan plays with Thomas and Friends Trackmaster Volcano Drop Playset,0,373.0,,0,0,2934,2992,-0.040355984,58,-0.007603739434853196,False,0.0
FbgK3whZLoU,GIANT EGG SURPRISE OPENING SPIDERMAN  superhero toys,0,306.0,,0,0,2933,2992,0.06318947,59,-0.0031689892057329416,False,0.0
s4FydBU95Ig,Ryan plays with Star Wars and Spiderman Egg Surprise!,0,316.0,,0,0,2932,2992,0.056872092,60,0.0016017844434827566,False,0.0
ZdeV2TfG3PI,TOYS SURPRISE Giant Balloons Pop Challenge with Ryan,0,276.0,,0,0,2931,2992,0.046042375,61,0.003561766119673848,False,0.0
w79yM_ZJiX0,Thomas and Friends Remote Control Toys Train Turbo Flip Thomas,0,305.0,,0,0,2930,2992,-0.001996152,62,0.0059494266752153635,False,0.0
wkNe-Zw1GO8,Ryan and Daddy SURPRISE TOYS CHALLENGE with Water Balloons,0,378.0,,0,0,2929,2992,0.0065699634,63,0.008350789616815745,False,0.0
tGqas1rSaDw,Thomas and Friends Surprise Toys Trains for kids,0,263.0,,0,0,2928,2992,-0.0650153,64,0.0017993637127801775,False,0.0
kSDRZnfXcWI,GIANT BALLOONS SURPRISE TOYS and Ball Pit challenge with Ryan,0,213.0,,0,0,2927,2992,0.029703226,65,0.0054191660834476355,False,0.0
pOaWNy_nCNE,Ryan Playtime at the Park with Thomas and Friends and Disney Cars,0,266.0,,0,0,2926,2992,-0.10963404,66,-0.005288565088994801,False,0.0
zlAzrWdTkOc,World's Largest Giant Egg Olaf from Frozen with Ryan,0,250.0,,0,0,2925,2992,0.10153824,67,0.002948582614772022,False,0.0
RHoDwa4BPi4,Ryan plays with Disney Cars Toys Lightning McQueen and Tow Mater,0,263.0,,0,0,2924,2992,0.012623154,68,0.00045021369587630036,False,0.0
LTqfRIwqlWo,DINOSAUR TOYS Matchbox Mission Dino Raiders from Jurassic World,0,241.0,,0,0,2923,2992,-0.051400363,69,0.0006263701943680644,False,0.0
dMuwBuOrDm8,THOMAS AND FRIENDS Playtime at the park with Ryan,0,298.0,,0,0,2922,2992,-0.11463632,70,-0.004347310145385563,False,0.0
lPc0uJ3Nv-c,THOMAS AND FRIENDS Train Ride for kids with Ryan,0,224.0,,0,0,2921,2992,-0.09847603,71,-0.0059130895184353,False,0.0
Y5P3g3vTg74,THOMAS AND FRIENDS Surprise Toys Trains for kids!,0,378.0,,0,0,2920,2992,-0.047840007,72,-0.008530930732376873,False,0.0
XbaHgHQk4OI,GIANT EGG SURPRISE OPENING Disney Toys Star Wars,0,345.0,,0,0,2919,2992,0.015501417,73,-0.004162310739047825,False,0.0
Pt5bT9IniZ0,Playtime in the Pool with Floating Disney Surprise Toys,0,218.0,,0,0,2918,2992,-0.032895993,74,-0.0035244538681581616,False,0.0
s2nATs3Eyas,ORBEEZ CHALLENGE Surprise Toys with Ryan,0,209.0,,0,0,2917,2992,0.03303002,75,-0.0015802081441506743,False,0.0
bXXW9CHiolo,Ryan plays with THOMAS AND FRIENDS on the sand,0,219.0,,0,0,2916,2992,-0.046490647,76,-0.008962298906408251,False,0.0
k2RvLyJyZJ8,Ryan plays Thomas and Friends Toy Trains for Kids,0,453.0,,0,0,2915,2992,-0.03446598,77,-0.013906843005679547,False,0.0
M3PDS9zxsTs,Disney Cars Toys GIANT EGG SURPRISE OPENING Lightning McQueen,0,431.0,,0,0,2914,2992,0.07019103,78,-0.008379492140375078,False,0.0
1oeQ5uvC30w,Ryan plays with Orbeez and Surprise Toys Challenge,0,275.0,,0,0,2913,2992,0.027668554,79,-0.010155537887476385,False,0.0
2MYcoAcwF0E,SURPRISE TOYS Giant Ball Pit Challenge with Ryan ToysReview,0,327.0,,0,0,2912,2992,0.02654022,80,-0.011672131507657469,False,0.0
CeNq3zskXTw,Surprise Toys hunt for eggs surprise!,0,276.0,,0,0,2911,2992,0.0766857,81,-0.010139965428970754,False,0.0
VpgnVzyR8Nw,WORLD BIGGEST GIANT EGG SURPRISE OPENING Mickey Mouse,0,387.0,,0,0,2910,2992,0.079438575,82,-0.00606822909321636,False,0.0
HP_g_c_NHs0,Ryan plays with giant lego at Legoland Discovery Center!,0,265.0,,0,0,2909,2992,-0.011323074,83,-0.0069628809578716755,False,0.0
ap-j_rcrvSI,GIANT LEGO World's biggest indoor playground LegoLand,0,360.0,,0,0,2908,2992,-0.006141429,84,-0.004019187344238162,False,0.0
gFyTLD5icrE,Ryan Plays with Orbeez and Surprise Toys Challenge,0,264.0,,0,0,2907,2992,0.027668554,85,-0.004120920924469829,False,0.0
UGzQK7cN5zg,DISNEY CARS COLOR CHANGERS Lightning McQueen Toys,0,343.0,,0,0,2906,2992,-0.05253091,86,-0.0012657643761485814,False,0.0
E39E0xJfd9U,TMNJ SUPER GIANT EGG SURPRISE OPENING Toys Ninja Turtle,0,367.0,,0,0,2905,2992,0.041641165,87,-0.004260618193075061,False,0.0
XKzs_tQauYs,Disney Cars Lightning McQueen Power Wheels Playtime at the park,0,543.0,,0,0,2904,2992,-0.032445043,88,-0.00651402804069221,False,0.0
adpBZCD29Bo,SURPRISE TOYS Challenge in Ball Pit with Ryan ToysReview,0,296.0,,0,0,2903,2992,0.0076934807,89,-0.003559335833415389,False,0.0
IzKltwvd4H0,Ryan plays with Disney Cars Color Changer Toys Lightning McQueen,0,252.0,,0,0,2902,2992,-0.0063651763,90,0.001854221196845174,False,0.0
-g0TqlMDL2Q,DISNEY CARS EAT DONUT CANDY DIY Japanese Happy Kitchen Doughnut Kit,0,468.0,,0,0,2901,2992,-0.016065754,91,0.005974734993651509,False,0.0
pRAD9Icnzeg,GIANT THOMAS AND FRIENDS SURPRISE TENT and Train Power Wheels,0,352.0,,0,0,2900,2992,-0.13128784,92,0.001802343176677823,False,0.0
K5_StdpkXvM,PAW PATROL TOYS GIANT EGG SURPRISE OPENING for kids,0,454.0,,0,0,2899,2992,-0.013036877,93,0.00037542846985161304,False,0.0
czKkYEdu6jQ,Disney Cars Lightning McQueen POWER WHEELS CAR RACE,0,285.0,,0,0,2898,2992,0.0058235405,94,0.0023114051669836043,False,0.0
znPa0VDSFIk,Little Tikes Jump 'n Slide Bounce House with Ryan ToysReview,0,188.0,,0,0,2897,2992,-0.023231952,95,-0.000501693319529295,False,0.0
c6sWifhx0NY,Family Fun Trip to Sea World Amusement Water park,0,355.0,,0,0,2896,2992,-0.241353,96,-0.010244811233133078,False,0.0
7Pob9Hi1ch8,PAW PATROL Nickelodeon BALL PIT CHALLENGE with Play Tent,0,390.0,,0,0,2895,2992,-0.080571815,97,-0.012550103012472391,False,0.0
RrlN4AQsl7Y,Ryan riding Disney Cars Lightning McQueen and Paw Patrol Power Wheels,0,293.0,,0,0,2894,2992,0.00452846,98,-0.01583323166705668,False,0.0
xYm6DWroACc,Disney Princess toys Little Mermaid Surprise Opening,0,603.0,,0,0,2893,2992,0.035771437,99,-0.015428087534382939,False,0.0
bqp1Ax9YCFk,Disney Cars Toys GIANT EGG SURPRISE OPENING Lightning McQueen,0,427.0,,0,0,2892,2992,0.07019103,100,-0.01324554686434567,False,0.0
9rJD9t72JUc,DIET COKE AND MENTOS EXPERIMENT CHALLENGE Easy science experiment for kids,0,191.0,,0,0,2891,2992,0.0066973455,101,-0.016744964430108665,False,0.0
y0IyukMUy2Q,Ryan Ride Bike in the Park while opening surprise Eggs,0,302.0,,0,0,2890,2992,-0.014362913,102,-0.021435038791969417,False,0.0
79F0cTyexfU,Giant Egg Surprise Toys DISNEY STAR WARS,0,519.0,,0,0,2889,2992,0.0014687665,103,-0.020795446773990988,False,0.0
3AZlYDm-FVQ,THOMAS AND FRIENDS TRACKMASTER  Harnold's High Flying Rescue Set,0,521.0,,0,0,2888,2992,-0.12076304,104,-0.026526527386158703,False,0.0
mFsWrx6F080,Ryan CAR WASH  and plays with Construction Crane and Fire Truck Toys,0,312.0,,0,0,2887,2992,0.007837867,105,-0.027518061734735966,False,0.0
ENSvGDZFKuU,Thomas and Friends DAY OUT WITH THOMAS Train ride for kids,0,359.0,,0,0,2886,2992,-0.12093475,106,-0.030938253551721574,False,0.0
6fCfHnnUqic,Disney Toys STAR WARS THE FORCE AWAKENS BB 8 Droid,0,256.0,,0,0,2885,2992,0.015170813,107,-0.03226177114993334,False,0.0
58p8ZCpv0ik,GIANT LEGO WALL Egg Surprise Toys Opening Duplo,0,375.0,,0,0,2884,2992,-0.001148602,108,-0.03069694908335805,False,0.0
L7E3128ezk8,GIANT SURPRISE EGG OPENING BATMAN Toys,0,461.0,,0,0,2883,2992,0.04829765,109,-0.02866674056276679,False,0.0
GvWoqXqKFjo,Ryan plays with Minions from Despicable Me  and Toy Car,0,259.0,,0,0,2882,2992,0.11333382,110,-0.022681790683418513,False,0.0
6Of-qrWPkyM,Step2 THOMAS THE TANK ENGINE Up & Down Roller Coaster,0,380.0,,0,0,2881,2992,0.03347388,111,-0.02020480902865529,False,0.0
Ap6-MYEv6JY,Ryan plays THOMAS AND FRIENDS MEGA BLOKS Cranky Toy Trains Playset,0,482.0,,0,0,2880,2992,-0.051002406,112,-0.01619053715839982,False,0.0
KI51c05wodA,SURPRISE TOYS Rubber Ducky challenge  in Orbeez,0,248.0,,0,0,2879,2992,0.026530787,113,-0.014212153945118189,False,0.0
rIslaObOjzA,GIANT BALL SURPRISE OPENING Transformer Toys with Ryan,0,488.0,,0,0,2878,2992,0.009602107,114,-0.014023225614801049,False,0.0
L_gnxWUuLm0,DRY ICE EXPERIMENT Easy science experiments for Kids with Disney Toys,0,275.0,,0,0,2877,2992,-0.011171311,115,-0.013420193595811725,False,0.0
QAdAPWkuFX0,Egg Surprise Toys  LET'S GO FISHING CHALLENGE with Ryan,0,284.0,,0,0,2876,2992,0.008565018,116,-0.0009242924395948648,False,0.0
PcdKNRC-K7M,Ryan plays Step2 THOMAS THE TANK ENGINE UP & DOWN Roller Coaster,0,208.0,,0,0,2875,2992,0.03867267,117,0.005037931865081191,False,0.0
qKZizzNu4to,GIANT SURPRISE BOX OPENING with Spiderman Power Wheels Ride-On,0,325.0,,0,0,2874,2992,0.05227583,118,0.007425300311297178,False,0.0
CTa8brpi-EU,GIANT RC MONSTER TRUCK Remote Control toys Cars for kids,0,342.0,,0,0,2873,2992,-0.028043516,119,0.004234552662819624,False,0.0
45hXf1oJE6o,FIRE TRUCK FOR KIDS POWER WHEELS RIDE ON,0,358.0,,0,0,2872,2992,-0.01927158,120,-0.00023857802152633668,False,0.0
SJhme0n0FWA,GIANT BALL SURPRISE TOYS Playtime outside with cute Dog,0,276.0,,0,0,2871,2992,-0.051324848,121,-0.003139687702059746,False,0.0
iK-kHHL537w,Power Wheels Ride On Car with Ryan and Mommy!,0,431.0,,0,0,2870,2992,0.046682194,122,-8.74323770403862e-05,False,0.0
_7P0guVErkU,Ryan plays on HUGE Indoor playground GIANT INFLATABLE SLIDES,0,343.0,,0,0,2869,2992,0.020293131,123,0.0008537858724594116,False,0.0
v79assm0RO0,Easy science experiment for kids Dry Ice,0,360.0,,0,0,2868,2992,0.034390494,124,0.008611462637782097,False,0.0
8dZ9_ormKtc,GIANT THOMAS AND FRIENDS kids Train rides at Thomas Land,0,356.0,,0,0,2867,2992,-0.13439439,125,0.0014998496510088444,False,0.0
qUNTFRlNIaA,THOMAS AND FRIENDS Train Rides for kids at ThomasLand Amusement park,0,456.0,,0,0,2866,2992,-0.21030444,126,-0.002968634944409132,False,0.0
0bTzs6FuLFo,TOP COSTUMES FOR KIDS and Power Wheels ride On Car,0,300.0,,0,0,2865,2992,-0.12058449,127,-0.00975639997050166,False,0.0
ciIHm8tsYUk,BIGGEST HOT WHEELS ULTIMATE GARAGE PLAYSET with Disney Cars Toys,0,688.0,,0,0,2864,2992,-0.016102824,128,-0.010504111088812352,False,0.0
2NaFAjgEHKw,SURPRISE TOYS Halloween with Ryan ToysReview!,0,261.0,,0,0,2863,2992,0.046357833,129,-0.010601102001965046,False,0.0
PfR1jp3EPhU,GIANT EGG SURPRISE OPENING AVENGERS Disney Toys,0,445.0,,0,0,2862,2992,0.049163964,130,-0.013809594884514808,False,0.0
m37N6blouTk,Ryan PLAYTIME AT THE PARK with Paw Patrol Power Wheels and opening egg surprise,0,506.0,,0,0,2861,2992,-0.018780215,131,-0.016422299575060605,False,0.0
RX6Yba2ur74,Ryan's CUTE HALLOWEEN KIDS COSTUMES SHOW in 2015!,0,265.0,,0,0,2860,2992,-0.004952343,132,-0.014119796454906464,False,0.0
bRp_4EtzzXU,SURPRISE TOYS Halloween GIANT PUMPKIN Spiderman and Disney Cars,0,458.0,,0,0,2859,2992,0.018685604,133,-0.014512055646628141,False,0.0
xKTOq-bFczc,Thomas The Tank Engine Power Wheels Ride On Train for kids,0,218.0,,0,0,2858,2992,-0.031424917,134,-0.016563406866043805,False,0.0
3Vo4BZ82pPc,GIANT EGG SURPRISE OPENING SPIDERMAN TOYS and Power Wheels,0,476.0,,0,0,2857,2992,-0.0047937464,135,-0.016244528628885747,False,0.0
5Ps3-o8qxAA,Ryan Goes to Indoor playground with GIANT BALL PIT at Thomas Land,0,206.0,,0,0,2856,2992,-0.02995239,136,-0.018170399032533167,False,0.0
zS7_Xn-7ips,THOMAS AND FRIENDS Toy Trains for kids with Tomy Takara Playset,0,432.0,,0,0,2855,2992,-0.13893424,137,-0.02705074455589056,False,0.0
WhrM9i1HHYI,Ryan plays with HOT WHEELS ULTIMATE GARAGE playset with Disney Cars,0,182.0,,0,0,2854,2992,-0.034005485,138,-0.031364810280501844,False,0.0
_aztL_voF9s,GIANT LIFE SIZE DINOSAUR at Thomas Land Amusement Park,0,325.0,,0,0,2853,2992,-0.07737077,139,-0.0338311729952693,False,0.0
34YTLyp4Hz4,AMUSEMENT PARK FOR KIDS at Thomas Land,0,343.0,,0,0,2852,2992,-0.18889163,140,-0.04231217568740249,False,0.0
G7oPUn1kTos,Ryan plays WUBBLEX ANTI GRAVITY BALL Toys Balloons for kids,0,524.0,,0,0,2851,2992,0.036416743,141,-0.0379250961355865,False,0.0
HNj_BK9PAhc,GIANT EGG SURPRISE OPENING Disney Toys Jake and the Neverland,0,455.0,,0,0,2850,2992,0.0073283864,142,-0.03989278650842607,False,0.0
tcNY6kt43xs,Chuck E Cheese Indoor Games and Activities for Kids,0,445.0,,0,0,2849,2992,-0.12702277,143,-0.047258581733331084,False,0.0
r3OC9cy5rTQ,Lego Duplo Disney Cars Lightning McQueen and Tow Mater,0,355.0,,0,0,2848,2992,-0.003148376,144,-0.04913552524521947,False,0.0
4TgXgwVndiw,Indoor Playground for kids with Giant inflatable Slides,0,356.0,,0,0,2847,2992,-0.09374277,145,-0.04710294427350163,False,0.0
-DceAZ8J2Rc,Thomas and Friends GIANT BALL PITS with Egg Surprise Toys,0,348.0,,0,0,2846,2992,-0.011368588,146,-0.037156151700764896,False,0.0
XQcz5pfJXbk,BullDozer CAT Power Wheels Ride On Car Kids Construction Vehicle,0,272.0,,0,0,2845,2992,7.6406635e-05,147,-0.03112310697324574,False,0.0
U5fPaeghG-E,Ryan plays with Eggs Surprise Toys Thomas and Friends,0,331.0,,0,0,2844,2992,-0.0051569156,148,-0.030575811536982654,False,0.0
SMIbd9nvTKY,GIANT EGG SURPRISE OPENING Playskool Heros Marvel,0,238.0,,0,0,2843,2992,0.00943063,149,-0.032422171672806144,False,0.0
Ln9k6vsf0sU,Ryan opens Giant Superman Surprise Egg,0,509.0,,0,0,2842,2992,0.09632422,150,-0.030064158840104938,False,0.0
jnu3JYXf87k,PLAYTIME at the PARK and Life Size Dinosaur train ride for kids,0,213.0,,0,0,2841,2992,-0.19918841,151,-0.039084568666294214,False,0.0
QuHcLXNdSsM,GIANT EGG SURPRISE OPENING Thomas and Friends Toy Trains,0,438.0,,0,0,2840,2992,-0.01516271,152,-0.039595087012276056,False,0.0
fz9hY5_trQQ,Ryan plays on Little Tikes Bounce House with Ball Pits Balls!,0,198.0,,0,0,2839,2992,0.006069418,153,-0.04022589628584683,False,0.0
-EvZtrpXuoQ,GIANT EGG SURPRISE OPENING The Good Dinosaur Toys,0,557.0,,0,0,2838,2992,-0.029983174,154,-0.04015380912460387,False,0.0
YwJmXn8HGCA,Ryan plays Indoor Games and Activities for kids,0,366.0,,0,0,2837,2992,-0.0972365,155,-0.04477594676427543,False,0.0
RQW3bCa_5TA,Ryan plays with Giant WUBBLE BUBBLE BALL,0,291.0,,0,0,2836,2992,0.040600475,156,-0.041248303512111305,False,0.0
4xhIQA5uBbo,HOW TO MAKE GIANT SLIME GOO Easy Science Experiment for kids!,0,629.0,,0,0,2835,2992,-0.0124354735,157,-0.03492336519993842,False,0.0
h37v2SzZGx8,Hungry Hungry Hippo Board Game with Disney Cars Micro Drifters,0,263.0,,0,0,2834,2992,-0.13349254,158,-0.03989771814085543,False,0.0
VD9i8IcFa5o,TOY HUNT for Imaginext Ultra T-Rex  and Paw Patrol,0,765.0,,0,0,2833,2992,-0.0056832703,159,-0.03631334314122796,False,0.0
-L1BYYsBXIo,PAW PATROL TOYS Giant Egg Surprise opening with Ryan!,0,517.0,,0,0,2832,2992,0.06261012,160,-0.023738255444914102,False,0.0
FbF-889wP1Q,Kid Car Racing Power Wheels and playing at the Park,0,343.0,,0,0,2831,2992,-0.05661766,161,-0.028389975521713497,False,0.0
HHhti8nPDY0,LEGO DUPLO Disney SpiderMan Web Bike Workshop,0,322.0,,0,0,2830,2992,-0.13455449,162,-0.03548411936499178,False,0.0
oJcdqwnR7rs,ANKI OVERDRIVE Robot Race Cars Game Play,0,367.0,,0,0,2829,2992,-0.087739214,163,-0.033519941428676245,False,0.0
D7dOSV-k2kY,SURPRISE TOYS CHALLENGE with Ryan,0,549.0,,0,0,2828,2992,0.055123243,164,-0.030606360454112292,False,0.0
cz_-4Yef1rI,LEGOLAND SNOW DAYS Amusement Park for kids,0,224.0,,0,0,2827,2992,-0.12709591,165,-0.032274017203599216,False,0.0
lLpCWsZNCQ4,LEGOLAND Family Fun Amusement Theme Park for kids,0,369.0,,0,0,2826,2992,-0.2098958,166,-0.04220037804916501,False,0.0
O87G6051DME,Ryan goes to LEGOLAND Amusement Park for kids,0,333.0,,0,0,2825,2992,-0.027045848,167,-0.0435564907733351,False,0.0
